X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
421.32	194.638	0	2010.744	<BeadTracker.Bead object at 0x000001B586C87B80>	1.0	1	0	0	1	False	-231.0	M450	M450	0
421.161	194.816	0	4514.056	<BeadTracker.Bead object at 0x000001B586C8B400>	2.0	1	1	1	1	False	-231.0	M450	M450	1
421.132	195.153	0	8592.117	<BeadTracker.Bead object at 0x000001B586C8BA90>	3.0	1	2	2	1	True	-231.0	M450	M450	2
419.667	195.873	0	2385.228	<BeadTracker.Bead object at 0x000001B586C80280>	1.0	2	3	3	1	False	-211.0	M450	M450	3
419.947	196.297	0	5350.318	<BeadTracker.Bead object at 0x000001B586C80940>	2.0	2	4	4	1	False	-211.0	M450	M450	4
419.667	196.683	0	9832.14	<BeadTracker.Bead object at 0x000001B586C80DF0>	3.0	2	5	5	1	True	-211.0	M450	M450	5
419.287	196.823	0	8583.723	<BeadTracker.Bead object at 0x000001B586C91490>	1.0	3	6	6	1	True	-151.0	M450	M450	6
419.171	196.795	0	11016.097	<BeadTracker.Bead object at 0x000001B586C91A90>	2.0	3	7	7	1	False	-151.0	M450	M450	7
418.658	197.446	0	6556.263	<BeadTracker.Bead object at 0x000001B586CAF1F0>	3.0	3	8	8	1	False	-151.0	M450	M450	8
417.501	197.314	0	9938.473	<BeadTracker.Bead object at 0x000001B586CAF880>	1.0	4	9	9	1	True	-91.0	M450	M450	9
417.439	197.59	0	10223.595	<BeadTracker.Bead object at 0x000001B586CAFF10>	2.0	4	10	10	1	False	-91.0	M450	M450	10
417.117	198.085	0	5708.277	<BeadTracker.Bead object at 0x000001B586C8F5E0>	3.0	4	11	11	1	False	-91.0	M450	M450	11
416.784	197.885	0	10971.62	<BeadTracker.Bead object at 0x000001B586C8FC70>	1.0	5	12	12	1	True	-31.0	M450	M450	12
416.552	198.271	0	8832.74	<BeadTracker.Bead object at 0x000001B586C8D340>	2.0	5	13	13	1	False	-31.0	M450	M450	13
416.108	198.787	0	4633.095	<BeadTracker.Bead object at 0x000001B586C8D9D0>	3.0	5	14	14	1	False	-31.0	M450	M450	14
415.501	199.341	0	11330.092	<BeadTracker.Bead object at 0x000001B586C8DFA0>	1.0	6	15	15	1	True	29.0	M450	M450	15
415.022	199.578	0	7719.754	<BeadTracker.Bead object at 0x000001B586C86640>	2.0	6	16	16	1	False	29.0	M450	M450	16
415.079	199.934	0	4132.414	<BeadTracker.Bead object at 0x000001B586C86F70>	3.0	6	17	17	1	False	29.0	M450	M450	17
415.052	200.048	-1	4816.029	<BeadTracker.Bead object at 0x000001B582022490>	0.1	0	18	18	1	True	59.0	M450	M450	18
415.034	199.976	-1	6288.72	<BeadTracker.Bead object at 0x000001B582022B20>	0.1	0	19	19	1	True	89.0	M450	M450	19
415.069	199.707	-1	7151.536	<BeadTracker.Bead object at 0x000001B582026490>	0.1	0	20	20	1	True	119.0	M450	M450	20
415.024	199.905	-1	7385.814	<BeadTracker.Bead object at 0x000001B582026B50>	0.1	0	21	21	1	True	121.0	M450	M450	21
415.007	199.659	-1	7417.064	<BeadTracker.Bead object at 0x000001B5820268B0>	0.1	0	22	22	1	True	121.0	M450	M450	22
414.977	199.656	-1	7452.224	<BeadTracker.Bead object at 0x000001B58203E5E0>	0.1	0	23	23	1	True	121.0	M450	M450	23
415.02	199.543	-1	7478.573	<BeadTracker.Bead object at 0x000001B58203EC70>	0.1	0	24	24	1	True	120.0	M450	M450	24
414.961	199.612	-1	7436.888	<BeadTracker.Bead object at 0x000001B58202C220>	0.1	0	25	25	1	True	121.0	M450	M450	25
415.01	199.49	-1	7429.012	<BeadTracker.Bead object at 0x000001B58202C580>	0.1	0	26	26	1	True	116.0	M450	M450	26
414.955	199.589	-1	7399.39	<BeadTracker.Bead object at 0x000001B58202CDF0>	0.1	0	27	27	1	True	121.0	M450	M450	27
414.915	199.548	-1	7375.051	<BeadTracker.Bead object at 0x000001B58200F730>	0.1	0	28	28	1	True	121.0	M450	M450	28
414.867	199.706	-1	7376.246	<BeadTracker.Bead object at 0x000001B58200FDC0>	0.1	0	29	29	1	True	121.0	M450	M450	29
414.885	199.633	-1	7347.273	<BeadTracker.Bead object at 0x000001B58201B490>	0.1	0	30	30	1	True	121.0	M450	M450	30
414.852	199.804	-1	7349.327	<BeadTracker.Bead object at 0x000001B58201BB20>	0.1	0	31	31	1	True	121.0	M450	M450	31
414.845	199.742	-1	7329.693	<BeadTracker.Bead object at 0x000001B5820281F0>	0.1	0	32	32	1	True	122.0	M450	M450	32
414.834	199.842	-1	7339.109	<BeadTracker.Bead object at 0x000001B582028880>	0.1	0	33	33	1	True	121.0	M450	M450	33
414.832	199.763	-1	7301.23	<BeadTracker.Bead object at 0x000001B582028F10>	0.1	0	34	34	1	True	122.0	M450	M450	34
414.836	199.957	-1	7329.383	<BeadTracker.Bead object at 0x000001B58201C280>	0.1	0	35	35	1	True	122.0	M450	M450	35
