X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
139.612	241.859	0	2256.241	<BeadTracker.Bead object at 0x0000014FD4E2D0D0>	1.0	1	0	0	0	False	-494.0	M450	M450	0
140.223	241.27	0	3402.935	<BeadTracker.Bead object at 0x0000014FD6665940>	2.0	1	1	1	0	False	-494.0	M450	M450	1
139.892	240.851	0	4745.255	<BeadTracker.Bead object at 0x0000014FD233AC70>	3.0	1	2	2	0	True	-494.0	M450	M450	2
139.775	242.042	0	2266.217	<BeadTracker.Bead object at 0x0000014FD233AC10>	1.0	2	3	3	0	False	-492.0	M450	M450	3
140.32	241.227	0	3389.907	<BeadTracker.Bead object at 0x0000014FD7ECCC10>	2.0	2	4	4	0	False	-492.0	M450	M450	4
140.035	240.943	0	4744.922	<BeadTracker.Bead object at 0x0000014FD7ECCDC0>	3.0	2	5	5	0	True	-492.0	M450	M450	5
139.845	241.88	0	2278.146	<BeadTracker.Bead object at 0x0000014FD7ECC7C0>	1.0	3	6	6	0	False	-494.0	M450	M450	6
140.262	241.168	0	3395.305	<BeadTracker.Bead object at 0x0000014FD7ECCF70>	2.0	3	7	7	0	False	-494.0	M450	M450	7
140.025	240.881	0	4743.924	<BeadTracker.Bead object at 0x0000014FD300CF10>	3.0	3	8	8	0	True	-494.0	M450	M450	8
139.863	241.906	0	2269.073	<BeadTracker.Bead object at 0x0000014FD300CF40>	1.0	4	9	9	0	False	-493.0	M450	M450	9
140.224	241.114	0	3405.514	<BeadTracker.Bead object at 0x0000014FD300C5E0>	2.0	4	10	10	0	False	-493.0	M450	M450	10
140.072	241.047	0	4720.289	<BeadTracker.Bead object at 0x0000014FD300C130>	3.0	4	11	11	0	True	-493.0	M450	M450	11
139.763	241.814	0	2248.473	<BeadTracker.Bead object at 0x0000014FD300C6D0>	1.0	5	12	12	0	False	-495.0	M450	M450	12
140.243	241.147	0	3376.298	<BeadTracker.Bead object at 0x0000014FD300C1C0>	2.0	5	13	13	0	False	-495.0	M450	M450	13
139.982	240.838	0	4700.365	<BeadTracker.Bead object at 0x0000014FD300CC10>	3.0	5	14	14	0	True	-495.0	M450	M450	14
139.596	241.84	0	2238.409	<BeadTracker.Bead object at 0x0000014FD46D3E20>	1.0	6	15	15	0	False	-495.0	M450	M450	15
140.289	241.122	0	3333.793	<BeadTracker.Bead object at 0x0000014FD46D3580>	2.0	6	16	16	0	False	-495.0	M450	M450	16
