X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
415.339	152.138	0	11116.167	<BeadTracker.Bead object at 0x000001F5832E73A0>	1.0	1	0	0	1	True	160.0	M450	M450	0
415.326	152.607	0	8768.266	<BeadTracker.Bead object at 0x000001F5832E77F0>	2.0	1	1	1	1	False	160.0	M450	M450	1
415.038	152.799	0	6108.948	<BeadTracker.Bead object at 0x000001F5832E7F70>	3.0	1	2	2	1	False	160.0	M450	M450	2
415.469	152.002	0	10838.848	<BeadTracker.Bead object at 0x000001F5832E0400>	1.0	2	3	3	1	True	187.0	M450	M450	3
415.207	152.307	0	8520.061	<BeadTracker.Bead object at 0x000001F5832E0850>	2.0	2	4	4	1	False	187.0	M450	M450	4
415.036	152.665	0	6089.936	<BeadTracker.Bead object at 0x000001F5832E0CA0>	3.0	2	5	5	1	False	187.0	M450	M450	5
415.532	151.588	0	10742.399	<BeadTracker.Bead object at 0x000001F5832D9130>	1.0	3	6	6	1	True	210.0	M450	M450	6
415.138	151.827	0	8149.76	<BeadTracker.Bead object at 0x000001F5832D9580>	2.0	3	7	7	1	False	210.0	M450	M450	7
415.195	152.312	0	6066.752	<BeadTracker.Bead object at 0x000001F5832D99D0>	3.0	3	8	8	1	False	210.0	M450	M450	8
415.528	151.232	0	10575.263	<BeadTracker.Bead object at 0x000001F5832D9E20>	1.0	4	9	9	1	True	248.0	M450	M450	9
415.185	151.679	0	7808.989	<BeadTracker.Bead object at 0x000001F5832B42B0>	2.0	4	10	10	1	False	248.0	M450	M450	10
415.251	151.878	0	6060.845	<BeadTracker.Bead object at 0x000001F5832B4700>	3.0	4	11	11	1	False	248.0	M450	M450	11
415.516	150.998	0	10278.376	<BeadTracker.Bead object at 0x000001F5832B4B50>	1.0	5	12	12	1	True	265.0	M450	M450	12
415.51	151.473	0	7542.506	<BeadTracker.Bead object at 0x000001F5832B4FA0>	2.0	5	13	13	1	False	265.0	M450	M450	13
415.279	151.552	0	6052.953	<BeadTracker.Bead object at 0x000001F5832ED430>	3.0	5	14	14	1	False	265.0	M450	M450	14
415.575	150.918	0	9998.73	<BeadTracker.Bead object at 0x000001F5832ED880>	1.0	6	15	15	1	True	273.0	M450	M450	15
415.469	151.217	0	7278.757	<BeadTracker.Bead object at 0x000001F5832EDCD0>	2.0	6	16	16	1	False	273.0	M450	M450	16
415.113	151.459	0	6024.123	<BeadTracker.Bead object at 0x000001F580D41160>	3.0	6	17	17	1	False	273.0	M450	M450	17
415.62	150.915	0	9846.698	<BeadTracker.Bead object at 0x000001F580D415B0>	1.0	7	18	18	1	True	284.0	M450	M450	18
415.24	150.993	0	7030.068	<BeadTracker.Bead object at 0x000001F580D41A00>	2.0	7	19	19	1	False	284.0	M450	M450	19
415.081	151.457	0	5937.349	<BeadTracker.Bead object at 0x000001F580D41E50>	3.0	7	20	20	1	False	284.0	M450	M450	20
415.291	150.277	0	9573.315	<BeadTracker.Bead object at 0x000001F580D232E0>	1.0	8	21	21	1	True	323.0	M450	M450	21
415.256	150.816	0	6715.559	<BeadTracker.Bead object at 0x000001F580D23730>	2.0	8	22	22	1	False	323.0	M450	M450	22
414.935	150.792	0	5850.399	<BeadTracker.Bead object at 0x000001F580D23B80>	3.0	8	23	23	1	False	323.0	M450	M450	23
415.434	150.215	0	9469.835	<BeadTracker.Bead object at 0x000001F580D23FD0>	1.0	9	24	24	1	True	321.0	M450	M450	24
415.327	150.39	0	6676.557	<BeadTracker.Bead object at 0x000001F580D43460>	2.0	9	25	25	1	False	321.0	M450	M450	25
414.94	150.604	0	5755.722	<BeadTracker.Bead object at 0x000001F580D438B0>	3.0	9	26	26	1	False	321.0	M450	M450	26
415.561	149.909	0	9416.807	<BeadTracker.Bead object at 0x000001F583FF4D90>	1.0	10	27	27	0	True	325.0	M450	M450	27
415.112	150.135	0	6517.147	<BeadTracker.Bead object at 0x000001F580D53190>	2.0	10	28	28	1	False	325.0	M450	M450	28
415.079	150.503	0	5691.338	<BeadTracker.Bead object at 0x000001F580D535E0>	3.0	10	29	29	1	False	325.0	M450	M450	29
415.769	149.916	0	9300.292	<BeadTracker.Bead object at 0x000001F583FF46D0>	1.0	11	30	30	0	True	335.0	M450	M450	30
415.375	150.257	0	6417.929	<BeadTracker.Bead object at 0x000001F580D53E80>	2.0	11	31	31	1	False	335.0	M450	M450	31
415.407	150.546	0	5608.271	<BeadTracker.Bead object at 0x000001F580D4C310>	3.0	11	32	32	1	False	335.0	M450	M450	32
415.757	149.876	0	9160.173	<BeadTracker.Bead object at 0x000001F583FF4220>	1.0	12	33	33	0	True	352.0	M450	M450	33
415.545	150.453	0	6354.129	<BeadTracker.Bead object at 0x000001F580D4CBB0>	2.0	12	34	34	1	False	352.0	M450	M450	34
415.483	150.423	0	5572.567	<BeadTracker.Bead object at 0x000001F580D4CF40>	3.0	12	35	35	1	False	352.0	M450	M450	35
415.816	150.05	0	9001.901	<BeadTracker.Bead object at 0x000001F5841C35B0>	1.0	13	36	36	0	True	368.0	M450	M450	36
415.774	150.354	0	6300.014	<BeadTracker.Bead object at 0x000001F580D268E0>	2.0	13	37	37	1	False	368.0	M450	M450	37
415.446	150.414	0	5458.203	<BeadTracker.Bead object at 0x000001F580D26D30>	3.0	13	38	38	1	False	368.0	M450	M450	38
415.963	150.209	0	8864.759	<BeadTracker.Bead object at 0x000001F58E6D61C0>	1.0	14	39	39	1	True	369.0	M450	M450	39
415.883	150.438	0	6283.624	<BeadTracker.Bead object at 0x000001F58E6D6610>	2.0	14	40	40	1	False	369.0	M450	M450	40
415.667	150.51	0	5324.907	<BeadTracker.Bead object at 0x000001F58E6D6A60>	3.0	14	41	41	1	False	369.0	M450	M450	41
417.009	149.693	0	8676.899	<BeadTracker.Bead object at 0x000001F5841BC610>	1.0	15	42	42	0	True	393.0	M450	M450	42
416.704	150.066	0	6096.484	<BeadTracker.Bead object at 0x000001F58E6C7340>	2.0	15	43	43	1	False	393.0	M450	M450	43
416.801	150.172	0	5073.41	<BeadTracker.Bead object at 0x000001F58E6C7790>	3.0	15	44	44	1	False	393.0	M450	M450	44
417.239	149.402	0	8486.195	<BeadTracker.Bead object at 0x000001F5841BCCA0>	1.0	16	45	45	0	True	390.0	M450	M450	45
417.067	149.929	0	6097.613	<BeadTracker.Bead object at 0x000001F58E6C7F70>	2.0	16	46	46	1	False	390.0	M450	M450	46
416.948	149.713	0	4963.695	<BeadTracker.Bead object at 0x000001F58E6B54C0>	3.0	16	47	47	1	False	390.0	M450	M450	47
417.415	149.072	0	8224.99	<BeadTracker.Bead object at 0x000001F5841BC430>	1.0	17	48	48	0	True	411.0	M450	M450	48
417.349	149.392	0	6098.369	<BeadTracker.Bead object at 0x000001F58E6B5D60>	2.0	17	49	49	1	False	411.0	M450	M450	49
417.13	149.287	0	4792.691	<BeadTracker.Bead object at 0x000001F58E6D01F0>	3.0	17	50	50	1	False	411.0	M450	M450	50
417.774	148.922	0	8113.682	<BeadTracker.Bead object at 0x000001F5841D5EB0>	1.0	18	51	51	0	True	414.0	M450	M450	51
417.606	148.996	0	6068.61	<BeadTracker.Bead object at 0x000001F58E6D0A90>	2.0	18	52	52	1	False	414.0	M450	M450	52
417.538	149.181	0	4623.734	<BeadTracker.Bead object at 0x000001F58E6D0EE0>	3.0	18	53	53	1	False	414.0	M450	M450	53
418.126	148.728	0	8198.595	<BeadTracker.Bead object at 0x000001F58E6ED370>	1.0	19	54	54	1	True	413.0	M450	M450	54
417.655	148.914	0	6063.737	<BeadTracker.Bead object at 0x000001F58E6ED7C0>	2.0	19	55	55	1	False	413.0	M450	M450	55
417.813	149.033	0	4625.636	<BeadTracker.Bead object at 0x000001F58E6EDC10>	3.0	19	56	56	1	False	413.0	M450	M450	56
418.218	148.31	0	8134.386	<BeadTracker.Bead object at 0x000001F5841D0850>	1.0	20	57	57	0	True	418.0	M450	M450	57
417.883	148.672	0	6034.116	<BeadTracker.Bead object at 0x000001F58E6DD4F0>	2.0	20	58	58	1	False	418.0	M450	M450	58
418.073	148.746	0	4639.925	<BeadTracker.Bead object at 0x000001F58E6DD940>	3.0	20	59	59	1	False	418.0	M450	M450	59
418.483	148.124	0	8098.055	<BeadTracker.Bead object at 0x000001F5841D0940>	1.0	21	60	60	0	True	426.0	M450	M450	60
418.384	148.701	0	6064.354	<BeadTracker.Bead object at 0x000001F58E6BE220>	2.0	21	61	61	1	False	426.0	M450	M450	61
418.338	148.446	0	4578.45	<BeadTracker.Bead object at 0x000001F58E6BE670>	3.0	21	62	62	1	False	426.0	M450	M450	62
419.178	147.692	0	7946.217	<BeadTracker.Bead object at 0x000001F58E6BEAC0>	1.0	22	63	63	1	True	431.0	M450	M450	63
418.791	147.753	0	6036.024	<BeadTracker.Bead object at 0x000001F58E6BEF10>	2.0	22	64	64	1	False	431.0	M450	M450	64
418.846	147.834	0	4457.541	<BeadTracker.Bead object at 0x000001F58CEDA3A0>	3.0	22	65	65	1	False	431.0	M450	M450	65
419.564	147.413	0	8006.047	<BeadTracker.Bead object at 0x000001F58CEDA7F0>	1.0	23	66	66	1	True	430.0	M450	M450	66
419.181	147.617	0	6011.749	<BeadTracker.Bead object at 0x000001F58CEDAC40>	2.0	23	67	67	1	False	430.0	M450	M450	67
419.409	147.732	0	4431.915	<BeadTracker.Bead object at 0x000001F58CEDAFD0>	3.0	23	68	68	1	False	430.0	M450	M450	68
419.916	147.368	0	7863.706	<BeadTracker.Bead object at 0x000001F584BD8D30>	1.0	24	69	69	0	True	434.0	M450	M450	69
419.598	147.837	0	5959.808	<BeadTracker.Bead object at 0x000001F58CEC4970>	2.0	24	70	70	1	False	434.0	M450	M450	70
419.74	147.637	0	4383.303	<BeadTracker.Bead object at 0x000001F58CEC4DC0>	3.0	24	71	71	1	False	434.0	M450	M450	71
