X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
337.002	175.089	0	18708.103	<BeadTracker.Bead object at 0x000002C2DC8A7190>	1.0	1	0	0	1	False	390.0		M450	0
337.438	174.854	0	19444.118	<BeadTracker.Bead object at 0x000002C2DC8A7D90>	2.0	1	1	1	1	True	390.0		M450	1
337.374	174.502	0	15901.428	<BeadTracker.Bead object at 0x000002C2DBBD9640>	3.0	1	2	2	1	False	390.0		M450	2
336.69	175.079	0	18650.378	<BeadTracker.Bead object at 0x000002C2DBBD9EB0>	1.0	2	3	3	1	False	415.0		M450	3
337.277	175.095	0	19419.648	<BeadTracker.Bead object at 0x000002C2DBBB8280>	2.0	2	4	4	1	True	415.0		M450	4
337.165	174.5	0	15814.586	<BeadTracker.Bead object at 0x000002C2DBBD4700>	3.0	2	5	5	1	False	415.0		M450	5
336.623	175.201	0	18556.757	<BeadTracker.Bead object at 0x000002C2DBBBF2B0>	1.0	3	6	6	2	False	356.0		M450	6
337.049	175.087	0	19453.234	<BeadTracker.Bead object at 0x000002C2DBBBF6A0>	2.0	3	7	7	1	True	356.0		M450	7
336.905	174.524	0	16040.328	<BeadTracker.Bead object at 0x000002C2DBBBFC10>	3.0	3	8	8	1	False	356.0		M450	8
336.437	175.142	0	17885.966	<BeadTracker.Bead object at 0x000002C2DC8C18E0>	1.0	4	9	9	1	False	389.0		M450	9
336.77	174.867	0	19140.441	<BeadTracker.Bead object at 0x000002C2DC8C1D30>	2.0	4	10	10	1	True	389.0		M450	10
336.751	174.684	0	16749.677	<BeadTracker.Bead object at 0x000002C2E01DB250>	3.0	4	11	11	1	False	389.0		M450	11
336.547	174.812	0	17867.154	<BeadTracker.Bead object at 0x000002C2E01DBD60>	1.0	5	12	12	1	False	331.0		M450	12
336.884	174.531	0	19238.117	<BeadTracker.Bead object at 0x000002C2E01B4B20>	2.0	5	13	13	2	True	331.0		M450	13
336.889	174.219	0	16917.908	<BeadTracker.Bead object at 0x000002C2E01B4D60>	3.0	5	14	14	1	False	331.0		M450	14
336.43	174.878	0	18065.423	<BeadTracker.Bead object at 0x000002C2E01BD5E0>	1.0	6	15	15	1	False	272.0		M450	15
336.933	174.81	0	19231.005	<BeadTracker.Bead object at 0x000002C2E01BD970>	2.0	6	16	16	1	True	272.0		M450	16
337.081	174.383	0	17131.436	<BeadTracker.Bead object at 0x000002C2DC8BB490>	3.0	6	17	17	1	False	272.0		M450	17
336.746	174.743	-1	18272.427	<BeadTracker.Bead object at 0x000002C2DC8BBDC0>	0.1	0	18	18	1	True	288.0		M450	18
336.625	175.026	-1	19182.914	<BeadTracker.Bead object at 0x000002C2E01D35E0>	0.1	0	19	19	1	True	317.0		M450	19
336.652	174.899	-1	19195.134	<BeadTracker.Bead object at 0x000002C2E01D32B0>	0.1	0	20	20	1	True	312.0		M450	20
336.72	174.857	-1	19298.166	<BeadTracker.Bead object at 0x000002C2E01B1580>	0.1	0	21	21	1	True	312.0		M450	21
336.752	174.885	-1	19302.044	<BeadTracker.Bead object at 0x000002C2E01B1FA0>	0.1	0	22	22	1	True	312.0		M450	22
336.733	174.872	-1	19341.103	<BeadTracker.Bead object at 0x000002C2E01A94C0>	0.1	0	23	23	2	True	312.0		M450	23
336.719	174.894	-1	19242.518	<BeadTracker.Bead object at 0x000002C2E01A9A00>	0.1	0	24	24	1	True	312.0		M450	24
336.751	174.835	-1	19277.473	<BeadTracker.Bead object at 0x000002C2DC8BC220>	0.1	0	25	25	2	True	312.0		M450	25
336.695	174.864	-1	19241.377	<BeadTracker.Bead object at 0x000002C2DC8BC970>	0.1	0	26	26	2	True	312.0		M450	26
336.745	174.794	-1	19271.675	<BeadTracker.Bead object at 0x000002C2E01C5340>	0.1	0	27	27	2	True	312.0		M450	27
336.728	174.838	-1	19321.692	<BeadTracker.Bead object at 0x000002C2E01C5430>	0.1	0	28	28	1	True	312.0		M450	28
336.717	174.829	-1	19289.965	<BeadTracker.Bead object at 0x000002C2E01B6070>	0.1	0	29	29	2	True	312.0		M450	29
336.756	174.932	-1	19276.323	<BeadTracker.Bead object at 0x000002C2E01B6CA0>	0.1	0	30	30	1	True	313.0		M450	30
336.843	174.929	-1	19222.237	<BeadTracker.Bead object at 0x000002C2E01B6E20>	0.1	0	31	31	1	True	312.0		M450	31
336.838	174.927	-1	19190.18	<BeadTracker.Bead object at 0x000002C2E01AB850>	0.1	0	32	32	1	True	312.0		M450	32
336.743	174.858	-1	19272.001	<BeadTracker.Bead object at 0x000002C2E01ABD00>	0.1	0	33	33	1	True	312.0		M450	33
336.747	174.84	-1	19228.186	<BeadTracker.Bead object at 0x000002C2DC8B4670>	0.1	0	34	34	1	True	312.0		M450	34
336.801	174.868	-1	19174.284	<BeadTracker.Bead object at 0x000002C2DC8B4E80>	0.1	0	35	35	1	True	312.0		M450	35
336.833	174.965	-1	19243.481	<BeadTracker.Bead object at 0x000002C2DA96FA60>	0.1	0	36	36	1	True	312.0		M450	36
336.818	175.031	-1	19168.249	<BeadTracker.Bead object at 0x000002C2DA96F880>	0.1	0	37	37	1	True	313.0		M450	37
336.783	175.098	-1	19255.16	<BeadTracker.Bead object at 0x000002C2DA970CD0>	0.1	0	38	38	2	True	307.0		M450	38
336.793	175.046	-1	19224.497	<BeadTracker.Bead object at 0x000002C2DA970DF0>	0.1	0	39	39	1	True	313.0		M450	39
336.82	174.999	-1	19235.099	<BeadTracker.Bead object at 0x000002C2DA985640>	0.1	0	40	40	1	True	312.0		M450	40
336.876	175.031	-1	19232.398	<BeadTracker.Bead object at 0x000002C2DA985BB0>	0.1	0	41	41	2	True	305.0		M450	41
336.882	174.973	-1	19279.357	<BeadTracker.Bead object at 0x000002C2DC8D92B0>	0.1	0	42	42	2	True	313.0		M450	42
336.87	174.861	-1	19218.873	<BeadTracker.Bead object at 0x000002C2DC8D9B80>	0.1	0	43	43	2	True	313.0		M450	43
336.881	174.899	-1	19226.156	<BeadTracker.Bead object at 0x000002C2DA97A310>	0.1	0	44	44	2	True	312.0		M450	44
336.837	174.964	-1	19172.467	<BeadTracker.Bead object at 0x000002C2DA97A550>	0.1	0	45	45	2	True	313.0		M450	45
336.806	174.922	-1	19146.475	<BeadTracker.Bead object at 0x000002C2DA9734F0>	0.1	0	46	46	1	True	312.0		M450	46
336.773	174.899	-1	19228.537	<BeadTracker.Bead object at 0x000002C2DA973A00>	0.1	0	47	47	2	True	312.0		M450	47
336.763	174.889	-1	19248.293	<BeadTracker.Bead object at 0x000002C2DA992370>	0.1	0	48	48	2	True	312.0		M450	48
336.773	174.887	-1	19198.606	<BeadTracker.Bead object at 0x000002C2DA9925E0>	0.1	0	49	49	1	True	312.0		M450	49
336.778	174.843	-1	19225.987	<BeadTracker.Bead object at 0x000002C2DC8CD040>	0.1	0	50	50	2	True	290.0		M450	50
336.715	174.923	-1	19128.139	<BeadTracker.Bead object at 0x000002C2DC8CD700>	0.1	0	51	51	1	True	309.0		M450	51
336.758	174.841	-1	19206.638	<BeadTracker.Bead object at 0x000002C2DC8CDF10>	0.1	0	52	52	1	True	288.0		M450	52
336.686	174.825	-1	19260.994	<BeadTracker.Bead object at 0x000002C2DA976520>	0.1	0	53	53	1	True	284.0		M450	53
336.689	174.758	-1	19250.206	<BeadTracker.Bead object at 0x000002C2DA976F70>	0.1	0	54	54	1	True	264.0		M450	54
336.707	174.792	-1	19261.719	<BeadTracker.Bead object at 0x000002C2DA997C10>	0.1	0	55	55	2	True	291.0		M450	55
336.705	174.827	-1	19185.906	<BeadTracker.Bead object at 0x000002C2DA997BB0>	0.1	0	56	56	2	True	262.0		M450	56
336.674	174.811	-1	19168.91	<BeadTracker.Bead object at 0x000002C2DA9696D0>	0.1	0	57	57	1	True	292.0		M450	57
336.725	174.844	-1	19183.457	<BeadTracker.Bead object at 0x000002C2DA969AC0>	0.1	0	58	58	1	True	312.0		M450	58
336.706	174.814	-1	19223.931	<BeadTracker.Bead object at 0x000002C2DC2CE250>	0.1	0	59	59	1	True	312.0		M450	59
336.663	174.887	-1	19173.51	<BeadTracker.Bead object at 0x000002C2DC2CEEB0>	0.1	0	60	60	1	True	283.0		M450	60
336.685	174.828	-1	19186.223	<BeadTracker.Bead object at 0x000002C2DBE864C0>	0.1	0	61	61	1	True	287.0		M450	61
336.682	174.859	-1	19160.258	<BeadTracker.Bead object at 0x000002C2DBE86D60>	0.1	0	62	62	1	True	262.0		M450	62
336.668	174.83	-1	19207.475	<BeadTracker.Bead object at 0x000002C2DC2A9130>	0.1	0	63	63	1	True	264.0		M450	63
336.719	174.911	-1	19158.494	<BeadTracker.Bead object at 0x000002C2DC2A9040>	0.1	0	64	64	1	True	294.0		M450	64
