Cell description,,,,,,,,,,,,,
date,id,cell type,cell subtype,experiment summary,treatment,shape,adherence,blebbing,internal motion,protrusion,in a cluster of cells,cells nearby,fluo images taken
21-01-18,M1_P1_C1,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,0,0,0,0
21-01-18,M1_P1_C2,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,0
21-01-18,M1_P1_C3,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,0
21-01-18,M1_P1_C4,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,roundish,1,1,,,0,0,0
21-01-18,M1_P1_C5,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,roundish,1,1,,,0,0,1
21-01-18,M1_P1_C6,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,round,1,0,,,0,0,1
21-01-18,M1_P1_C7,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,roundish,1,0,,,0,0,1
21-01-18,M1_P1_C8,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,round,1,1,,,0,0,1
21-01-18,M1_P1_C9,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,round,1,1,,,0,0,1
21-01-18,M2_P1_C1,3T3,aSFL,cells on 20um fibronectin discs,none,round,1,1,,,0,0,1
21-01-18,M2_P1_C2,3T3,aSFL,cells on 20um fibronectin discs,none,round,1,0,,,0,0,1
21-01-18,M2_P1_C3,3T3,aSFL,cells on 20um fibronectin discs,none,round,1,0,,,0,0,1
21-01-18,M2_P1_C4,3T3,aSFL,cells on 20um fibronectin discs,none,round,1,0,,,0,0,1
21-01-18,M2_P1_C5,3T3,aSFL,cells on 20um fibronectin discs,none,round,1,1,,,0,0,1
21-01-18,M2_P1_C6,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-18,M2_P1_C7,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-18,M2_P1_C8,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-18,M2_P1_C9,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-18,M2_P1_C10,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-18,M3_P1_C1,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,1
21-01-18,M3_P1_C2,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,1
21-01-18,M3_P1_C3,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,1
21-01-18,M3_P1_C4,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,1
21-01-18,M3_P1_C5,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,1
21-01-18,M3_P1_C6,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,1
21-01-18,M3_P1_C7,3T3,aSFL,cells on 20um fibronectin discs,doxycyclin,,1,,,,0,0,1
21-01-21,M1_P1_C1,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-21,M1_P1_C2,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-21,M1_P1_C3,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-21,M1_P1_C4,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-21,M1_P1_C5,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-21,M1_P1_C6,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-21,M1_P1_C7,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-21,M1_P1_C8,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
21-01-21,M1_P1_C9,3T3,aSFL,cells on 20um fibronectin discs,none,,1,,,,0,0,1
